X,Y,Z
8.81089,9.16441,26.9371
8.84624,9.16642,27.0263
8.87826,9.1609,27.1164
8.90653,9.14773,27.2067
8.93065,9.12691,27.2959
8.95027,9.09853,27.3831
8.9651,9.06276,27.4672
8.97486,9.01989,27.5472
8.97937,8.97033,27.6222
8.97846,8.91455,27.6911
8.97207,8.85314,27.753
8.96018,8.78677,27.8073
8.94284,8.71617,27.853
8.92017,8.64215,27.8898
8.89237,8.56557,27.9169
8.85969,8.4873,27.9342
8.82245,8.40826,27.9412
8.78103,8.32936,27.9379
8.73586,8.25152,27.9243
8.68743,8.17562,27.9005
8.63625,8.1025,27.8667
8.58287,8.03299,27.8234
8.52789,7.96782,27.7709
8.47188,7.90768,27.7098
8.41546,7.85319,27.6408
8.35923,7.80488,27.5646
8.3038,7.76323,27.482
8.24974,7.72861,27.3938
8.19763,7.70134,27.3009
8.148,7.68164,27.2042
8.10136,7.66967,27.1046
8.05819,7.66551,27.0032
8.01892,7.66918,26.9008
7.98395,7.68063,26.7984
7.95362,7.69976,26.697
7.92823,7.7264,26.5975
7.90805,7.76032,26.5008
7.89328,7.80128,26.4078
7.88408,7.84894,26.3194
7.88056,7.90295,26.2363
7.8828,7.96291,26.1595
7.89081,8.02836,26.0896
7.90457,8.09883,26.0274
7.92399,8.17376,25.9735
7.94897,8.2526,25.9286
7.97933,8.33474,25.8931
8.01487,8.4195,25.8677
8.05534,8.50621,25.8527
8.10042,8.59412,25.8485
8.14979,8.68245,25.8554
8.20306,8.77041,25.8735
8.25979,8.85714,25.903
8.31953,8.94178,25.9438
8.38175,9.02343,25.9959
8.44592,9.10117,26.059
8.51145,9.1741,26.1328
8.57771,9.24128,26.2167
8.64407,9.30183,26.3103
8.70985,9.35487,26.4128
8.77435,9.39957,26.5232
8.83687,9.43515,26.6407
8.8967,9.46092,26.764
8.95312,9.47627,26.892
9.00543,9.4807,27.0233
9.05296,9.47385,27.1565
9.09505,9.45547,27.29
9.13109,9.42549,27.4222
9.16053,9.38399,27.5516
9.18288,9.33122,27.6765
9.19771,9.26761,27.7954
9.2047,9.19376,27.9066
9.20361,9.11042,28.0087
9.19429,9.01852,28.1002
9.17671,8.91912,28.1801
9.15095,8.8134,28.2471
9.1172,8.70265,28.3004
9.07574,8.58824,28.3391
9.02699,8.47158,28.3629
8.97145,8.35411,28.3712
8.90972,8.23726,28.3642
8.84247,8.12244,28.3417
8.77047,8.011,28.3042
8.69452,7.90422,28.252
8.61549,7.80327,28.1858
8.53427,7.70923,28.1065
8.45177,7.62305,28.0149
8.36889,7.54556,27.9121
8.28656,7.47745,27.7993
